                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.089071,               0.068224,               0.049545,                      0,                0.19015,                0.23583,               0.073748,               0.034535,                0.20444,                0.24158,               0.097668,               0.056871,               0.067042,               0.028514,               0.032697,                      0,               0.070166,              0.0033149,              0.0033149
                      1,               0.070901,               0.024412,               0.038513,                      0,                0.23044,                0.26952,                0.10038,                0.03874,                0.27706,                0.24651,                0.17015,                0.11704,               0.072998,               0.022916,               0.024907,                      0,                 0.0401,              0.0065824,              0.0065824
                      2,               0.072746,               0.021579,               0.034469,                      0,                 0.4173,                0.27609,                0.21488,                0.13249,                0.41346,                0.28266,                0.21611,                0.18028,               0.058729,               0.021655,               0.024158,                      0,              0.0099681,              0.0097839,              0.0097839
                      3,               0.061389,               0.020723,               0.034084,                      0,                 0.3731,                0.28102,                0.21794,               0.085495,                0.37647,                0.28595,                0.22045,                0.18354,               0.051766,               0.021554,               0.023023,                      0,               0.009703,               0.009703,               0.009703
                      4,               0.054755,               0.021496,               0.032284,                      0,                0.68627,                0.30016,                 0.2891,                0.15267,                0.69002,                0.30181,                0.29387,                0.24575,               0.042055,               0.023126,               0.022495,                      0,               0.009703,               0.009703,               0.009703
                      5,               0.049389,               0.020246,               0.030297,                      0,                0.68611,                0.30649,                0.30188,                0.14152,                0.71152,                0.31306,                0.30777,                0.22042,                0.05195,               0.019312,               0.020058,                      0,               0.009604,               0.009604,               0.009604
                      6,               0.046528,               0.019638,                0.02956,                      0,                 0.7683,                0.29992,                0.30826,                0.14697,                0.78093,                0.30485,                0.31296,                 0.2718,               0.048085,               0.019638,                0.01986,                      0,               0.009505,               0.009505,               0.009505
                      7,               0.040652,               0.017667,               0.028378,                      0,                0.76516,                 0.3106,                0.30763,                0.18089,                0.76719,                0.31142,                0.30896,                0.24112,               0.041541,               0.018216,               0.019215,                      0,               0.009406,               0.009406,               0.009406
                      8,               0.040959,               0.017572,               0.026934,                      0,                0.81023,                0.31964,                0.32517,                0.19074,                0.82547,                0.32046,                0.33294,                0.25255,               0.038808,               0.018198,               0.018315,                      0,               0.009307,               0.009307,               0.009307
                      9,               0.038174,               0.016191,               0.025947,                      0,                 0.8262,                0.31306,                0.32446,                0.22884,                 0.8462,                0.31553,                0.33599,                0.28557,               0.034711,                0.01769,               0.017997,                      0,               0.009208,               0.009208,               0.009208
                     10,               0.035239,               0.015959,               0.026159,                      0,                0.84371,                0.31493,                0.32631,                0.22684,                0.85074,                0.31635,                0.33468,                0.27984,               0.033237,               0.017066,               0.021529,                      0,               0.009109,               0.009109,               0.009109
                     11,               0.034633,               0.016545,               0.024718,                      0,                0.88831,                0.31142,                0.33117,                0.24818,                  0.893,                0.31306,                   0.34,                0.28558,               0.033555,               0.017463,               0.017172,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.03435,               0.016596,                0.02368,                      0,                0.81313,                0.29745,                 0.3111,                 0.2172,                0.84612,                 0.2991,                0.31809,                0.25116,               0.033626,               0.022819,               0.020255,                      0,               0.008911,               0.008911,               0.008911
                     13,               0.034943,               0.016242,               0.023836,                      0,                0.85782,                0.30074,                0.32061,                0.23654,                0.87659,                0.29663,                0.32387,                0.27444,               0.031918,               0.021784,               0.019587,                      0,               0.008812,               0.008812,               0.008812
                     14,               0.030896,               0.016291,               0.023853,                      0,                0.80982,                0.30091,                0.32087,                0.21914,                0.81646,                0.30338,                0.32762,                0.26144,               0.034727,               0.020963,               0.019722,                      0,               0.008713,               0.008713,               0.008713
                     15,               0.034206,               0.016277,               0.023238,                      0,                0.89732,                0.30813,                0.33462,                0.24266,                0.91407,                0.31389,                0.34682,                 0.2962,               0.030611,               0.018027,               0.016912,                      0,               0.008614,               0.008614,               0.008614
